delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,middle_gamma,classification
1768826,499496,154434,197533,154434,46010,104215,501819,1
243970,126389,28663,24272,20442,26831,4759,217879,0
2007218,693508,33218,44393,33218,51875,24740,11969,0
49351,37451,56783,48689,56783,12920,6068,160715,0
33033,16275,10187,9598,10187,5951,5248,3042,0
87540,41804,3691,14693,3691,2548,2449,3030,0
1423102,384358,124757,275239,124757,80869,45765,179951,0
26945,74357,29914,5509,29914,9277,3783,67143,1
333993,29620,9814,11083,9814,8089,3083,3905,0
591520,69990,13301,5354,10879,14492,4696,325892,0
189114,43215,8656,2131,8656,1959,2596,93492,0
11922,8045,77417,5173,77417,6569,1726,68794,1
22861,31291,135942,21484,135942,10647,1174,75858,1
451243,13838,1450,5646,1450,1085,1079,46393,1
310652,117342,16585,12570,16585,4959,5005,3246,1
1702666,62983,6674,12642,6674,12866,1992,3733,0
342054,85522,27427,33273,27427,34684,44422,35746,1
207745,149320,46768,19069,46768,11419,11301,604078,1
149499,54240,7309,42355,7309,14471,3419,2269,1
1974838,159045,92307,42044,92307,44399,10654,13726,0
1834108,70522,68217,54805,68217,15094,3280,480109,0
498077,104095,65852,6672,7888,15631,10629,102601,0
342664,40346,55310,5083,55310,4795,1213,231854,1
835212,394675,36778,57577,36778,18501,7083,633189,1
89895,53730,9845,32270,9845,12938,4721,2203,0
2101830,278764,6208,58019,10774,36648,3181,415766,0
14910,2476,14646,4539,14646,7468,15748,80211,1
544025,90363,16038,18385,16038,23054,17893,4952,0
41378,36556,3725,14042,3725,5392,5787,2860,1
982151,68066,14836,16587,14836,32761,7787,89279,0
2067411,571708,213495,99228,23488,80332,3503,882162,0
842787,163780,33969,61365,33969,5718,3258,278398,1
5587,13707,6291,3816,6291,1693,152,769,1
3076,8646,8200,13005,14206,3212,6175,370582,0
15168,38056,2241,6273,2241,3741,1690,66198,1
572984,92958,33249,16112,33249,10894,4161,2700,1
31684,20644,7388,5600,7388,5142,7771,19327,1
793860,37882,27608,36922,27608,10086,11563,7141,1
669590,61466,15624,35497,15624,3625,1791,199518,1
582067,67229,25363,37584,25363,4563,3774,2833,0
773052,180025,10205,2687,10205,11263,13059,2926,0
8627,19916,22485,6925,22485,3213,1045,72949,1
76468,14106,5487,9361,5487,6940,5039,693220,1
1491402,144707,96744,33613,96744,22546,25604,7387,0
41572,25838,8010,33998,8010,5243,10825,5547,1
950400,151802,24091,14045,24091,20688,28733,19625,0
99533,351340,9050,2237,6044,142928,1847,860099,0
205480,37541,12887,2675,12887,4312,2349,1642,0
1510300,236973,45925,48939,10876,20334,2410,505133,0
36117,24622,11340,7546,4808,27181,20702,138085,0
138229,41423,5492,4891,5492,3671,4251,5788,1
103633,47345,1838,2017,1838,1381,1267,163533,1
27373,21222,5157,18083,5157,11515,3509,2549,0
335913,130592,20347,10142,20347,5444,3782,30944,0
866097,14213,2375,6334,2375,2010,807,1621,1
1284282,479887,345670,143977,103598,88202,8443,1935314,0
8298,23870,6342,11156,6342,9368,4751,2425,0
113370,41242,10898,16064,10898,7994,3619,2932,0
571527,39516,8504,23252,8504,9024,4177,630585,1
389933,132434,52359,13984,52359,11313,7179,220271,0
24824,36707,9565,13334,9565,4077,1013,1517,1
1032345,126063,24837,13738,24837,6314,2269,180171,1
1365012,230577,34285,26530,34285,7538,10289,811903,1
46412,2975,1890,1444,1890,374,145,16627,1
550985,8313,6105,9725,1338,1616,308,63948,0
335111,1348124,163088,7279,9750,336141,11557,1489858,0
111418,58490,18510,8151,18510,5273,7423,5680,1
165838,37929,8393,11815,11741,16920,15830,296216,0
198797,60836,4857,23717,4857,7948,12210,652542,1
1715196,224422,63583,31827,63583,26046,20894,17342,0
244032,34983,4841,7847,4841,3921,1909,83895,0
798391,179862,37730,51102,37730,6018,2264,1114,0
1309593,66165,16969,18208,16969,24109,6125,154487,1
9407,11178,13690,55393,13690,6464,19900,3081,1
403664,19692,13609,22629,13609,6089,5343,4877,0
612405,421861,31412,21927,31412,21666,32457,15616,1
9210,18729,48056,5001,48056,3012,2858,55178,1
28290,38195,4424,106063,4424,7025,5367,1741,1
22745,4599,11232,12794,11232,5697,3622,22056,1
1632027,208203,36770,75445,36770,88051,24984,332842,0
7513,20178,5045,1584,5045,4637,8311,63310,1
984473,52185,55770,19168,42798,24209,19156,126528,0
1857714,1146162,86301,31957,86301,61881,15147,7454,1
163188,9826,4729,2086,4729,837,594,234,0
24589,14457,5079,98056,5079,2849,1834,2566,1
1575692,57661,7107,7543,7107,7232,1092,209029,1
106529,80691,35630,4611,2043,42661,925,229069,0
196100,106924,38599,36481,38599,31452,1377,618307,0
2373980,633325,47177,46329,47177,15277,11557,596239,0
9011,18283,16309,4025,16309,3268,5122,30534,1
253953,132014,32067,86171,24542,21446,4103,404304,0
15206,17265,5623,11349,5623,10789,6353,15652,1
10684,51257,50865,6425,50865,7171,4462,31497,1
699818,26237,7564,22181,7564,2965,926,95623,0
4319,17976,12866,15099,4194,5191,1904,464493,0
532808,55299,22938,2624,23856,21319,6912,402362,0
247659,92779,25149,18666,25149,26961,9482,6205,0
69785,38130,19788,6935,19788,15391,11158,624389,1
491927,212257,11154,14340,11154,16724,8181,86404,0
11146,13107,8668,4257,8668,5896,4015,27546,1
965263,117745,20406,40753,20406,17549,3463,310136,0
551714,29966,19232,5733,19232,4041,3922,476198,0
43033,26901,4432,2171,4432,3611,2565,1055,0
122849,87723,30885,30013,30885,16812,14300,124742,0
342664,40346,55310,5083,55310,4795,1213,231854,1
629169,152631,6632,60292,6632,16823,3054,461710,0
109393,14212,4021,10439,4021,4037,3719,4778,0
1041974,298492,122698,33322,122698,23175,9103,12921,0
19102,9248,2886,1817,2886,1385,1349,1210,0
688893,886694,18822,21210,18822,17398,13396,8142,1
163209,66240,8245,26626,8245,14671,5136,2828,0
899444,75475,11912,45383,11912,9145,3639,384160,0
1773593,33107,22740,5386,22740,14327,6363,3457,0
239785,17258,13501,7007,6435,4888,9637,59603,0
535109,141863,45952,25786,9074,7114,3434,334960,0
314974,87642,11626,15171,11626,7486,7312,677890,1
128300,21409,20974,8329,20974,968,1567,50317,1
1699037,43955,58886,23496,23932,23367,22761,476598,0
339289,100668,46635,16574,46635,16429,10957,81211,0
129168,254688,167622,16665,167622,75054,3078,694044,0
32482,22531,4489,4901,4489,14766,2885,16058,1
38193,41595,15149,45750,15149,5046,5608,2414,1
124318,22308,1737,5966,1737,1470,2157,1829,1
319388,9101,31573,11162,31573,8074,10417,5486,0
2237964,50772,22648,13743,5378,7541,4648,31682,0
531792,58992,20767,35591,12601,6509,2753,225966,0
1113685,126244,17325,64431,17325,13403,12874,571780,1
65720,252371,16228,10634,16228,21483,7272,546418,1
73639,66245,22945,6867,22945,8621,5076,635389,1
46897,3942,1221,3305,1221,691,717,16641,0
10642,16327,9781,12126,12502,16798,21765,177828,0
24589,14457,5079,98056,5079,2849,1834,2566,1
4799,11343,2502,5340,2502,3864,4736,56920,1
186467,151422,26005,18464,26005,13947,16561,8180,1
3076,8646,8200,13005,14206,3212,6175,370582,0
157780,82906,10365,23412,10365,7256,4169,6099,1
135147,34308,5234,2107,5234,2653,1053,54034,1
130492,46291,15003,15221,15003,4581,1176,1090,1
835104,411011,262751,174184,47403,74557,15324,1023714,0
